date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:37	66312/66312	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Aug%202016%2020:57:52%20GMT	http://themes.pixelwars.org/bookcard/blog-single.html	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/blog-single.html	(from http://themes.pixelwars.org/bookcard/)
02:36:39	17742/17742	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2021:02:30%20GMT	http://themes.pixelwars.org/bookcard/images/site/testo-01.jpg	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/images/site/testo-01.jpg	(from http://themes.pixelwars.org/bookcard/)
02:36:40	18224/18224	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2021:02:31%20GMT	http://themes.pixelwars.org/bookcard/images/site/testo-02.jpg	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/images/site/testo-02.jpg	(from http://themes.pixelwars.org/bookcard/)
02:36:41	17830/17830	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2021:02:32%20GMT	http://themes.pixelwars.org/bookcard/images/site/testo-03.jpg	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/images/site/testo-03.jpg	(from http://themes.pixelwars.org/bookcard/)
02:36:41	5515/5515	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Aug%202016%2021:02:44%20GMT	http://themes.pixelwars.org/bookcard/portfolio-item-01.html	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/portfolio-item-01.html	(from http://themes.pixelwars.org/bookcard/)
02:36:43	5591/5591	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Aug%202016%2021:02:45%20GMT	http://themes.pixelwars.org/bookcard/portfolio-item-02.html	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/portfolio-item-02.html	(from http://themes.pixelwars.org/bookcard/)
02:36:45	99854/99854	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2021:02:27%20GMT	http://themes.pixelwars.org/bookcard/images/site/cover.jpg	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/images/site/cover.jpg	(from http://themes.pixelwars.org/bookcard/)
02:36:48	60440/60440	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2021:01:44%20GMT	http://themes.pixelwars.org/bookcard/images/portfolio/01.jpg	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/images/portfolio/01.jpg	(from http://themes.pixelwars.org/bookcard/)
02:36:53	45443/45443	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2021:01:48%20GMT	http://themes.pixelwars.org/bookcard/images/portfolio/06.jpg	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/images/portfolio/06.jpg	(from http://themes.pixelwars.org/bookcard/)
02:37:00	107546/107546	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202016%2021:01:55%20GMT	http://themes.pixelwars.org/bookcard/images/portfolio/07.jpg	C:/Users/Remus/Downloads/English-20170817T063230Z-001/bookcard_/themes.pixelwars.org/bookcard/images/portfolio/07.jpg	(from http://themes.pixelwars.org/bookcard/)
